16, Charlotte, North Carolina, 872498, 731424, +19.29%, 305.4, 791.0, 2757, 1064, 35°12′28″N 80°49′52″W, 35.2078°N 80.8310°W, 35.2078 -80.8310, https://en.wikipedia.org/wiki/Charlotte,_North_Carolina,
17, Indianapolis, Indiana, 867125, 820445, +5.69%, 361.5, 936.3, 2366, 914, 39°46′36″N 86°08′45″W, 39.7767°N 86.1459°W, 39.7767 -86.1459, https://en.wikipedia.org/wiki/Indianapolis,
18, Seattle, Washington, 744955, 608660, +22.39%, 83.8, 217.0, 8405, 3245, 47°37′14″N 122°21′03″W, 47.6205°N 122.3509°W, 47.6205 -122.3509, https://en.wikipedia.org/wiki/Seattle,
19, Denver, Colorado, 716492, 600158, +19.38%, 153.3, 397.0, 4521, 1746, 39°45′43″N 104°52′52″W, 39.7619°N 104.8811°W, 39.7619 -104.8811, https://en.wikipedia.org/wiki/Denver,
20, Washington D.C., District of Columbia, 702455, 601723, +16.74%, 61.1, 158.2, 11148, 4304, 38°54′15″N 77°01′02″W, 38.9041°N 77.0172°W, 38.9041 -77.0172, https://en.wikipedia.org/wiki/Washington,_D.C.,
21, Boston, Massachusetts, 694583, 617594, +12.47%, 48.3, 125.1, 13938, 5381, 42°19′55″N 71°01′13″W, 42.3320°N 71.0202°W, 42.3320 -71.0202, https://en.wikipedia.org/wiki/Boston,
22, El Paso, Texas, 682669, 649121, +5.17%, 256.8, 665.1, 2660, 1030, 31°50′54″N 106°25′37″W, 31.8484°N 106.4270°W, 31.8484 -106.4270, https://en.wikipedia.org/wiki/El_Paso,_Texas,
23, Detroit, Michigan, 672662, 713777, −5.76%, 138.8, 359.5, 4847, 1871, 42°22′59″N 83°06′08″W, 42.3830°N 83.1022°W, 42.3830 -83.1022, https://en.wikipedia.org/wiki/Detroit,
24, Nashville, Tennessee, 669053, 601222, +11.28%, 475.9, 1232.6, 1388, 536, 36°10′18″N 86°47′06″W, 36.1718°N 86.7850°W, 36.1718 -86.7850, https://en.wikipedia.org/wiki/Nashville,_Tennessee,
25, Portland, Oregon, 653115, 583776, +11.88%, 133.5, 345.8, 4793, 1851, 45°32′13″N 122°39′00″W, 45.5370°N 122.6500°W, 45.5370 -122.6500, https://en.wikipedia.org/wiki/Portland,_Oregon,
26, Memphis, Tennessee, 650618, 646889, +0.58%, 317.4, 822.1, 2056, 794, 35°06′10″N 89°58′39″W, 35.1028°N 89.9774°W, 35.1028 -89.9774, https://en.wikipedia.org/wiki/Memphis,_Tennessee,
27, Oklahoma City, Oklahoma, 649021, 579999, +11.90%, 606.3, 1570.3, 1053, 407, 35°28′02″N 97°30′49″W, 35.4671°N 97.5137°W, 35.4671 -97.5137, https://en.wikipedia.org/wiki/Oklahoma_City,
28, Las Vegas, Nevada, 644644, 583756, +10.43%, 134.4, 348.1, 4709, 1818, 36°13′45″N 115°15′36″W, 36.2292°N 115.2601°W, 36.2292 -115.2601, https://en.wikipedia.org/wiki/Las_Vegas,
29, Louisville, Kentucky, 620118, 597337, +3.81%, 263.5, 682.5, 2339, 903, 38°09′55″N 85°38′51″W, 38.1654°N 85.6474°W, 38.1654 -85.6474, https://en.wikipedia.org/wiki/Louisville,_Kentucky,
30, Baltimore, Maryland, 602495, 620961, −2.97%, 80.9, 209.5, 7598, 2934, 39°18′00″N 76°36′38″W, 39.3000°N 76.6105°W, 39.3000 -76.6105, https://en.wikipedia.org/wiki/Baltimore,
31, Milwaukee, Wisconsin, 592025, 594833, −0.47%, 96.2, 249.2, 6186, 2388, 43°03′48″N 87°58′00″W, 43.0633°N 87.9667°W, 43.0633 -87.9667, https://en.wikipedia.org/wiki/Milwaukee,
32, Albuquerque, New Mexico, 560218, 545852, +2.63%, 188.2, 487.4, 2972, 1147, 35°06′20″N 106°38′51″W, 35.1056°N 106.6474°W, 35.1056 -106.6474, https://en.wikipedia.org/wiki/Albuquerque,_New_Mexico,
33, Tucson, Arizona, 545975, 520116, +4.97%, 230.8, 597.8, 2299, 888, 32°09′11″N 110°52′14″W, 32.1531°N 110.8706°W, 32.1531 -110.8706, https://en.wikipedia.org/wiki/Tucson,_Arizona,
34, Fresno, California, 530093, 494665, +7.16%, 114.4, 296.3, 4563, 1762, 36°47′01″N 119°47′36″W, 36.7836°N 119.7934°W, 36.7836 -119.7934, https://en.wikipedia.org/wiki/Fresno,_California,
35, Mesa, Arizona, 508958, 439041, +15.92%, 137.9, 357.2, 3514, 1357, 33°24′07″N 111°43′03″W, 33.4019°N 111.7174°W, 33.4019 -111.7174, https://en.wikipedia.org/wiki/Mesa,_Arizona,
36, Sacramento, California, 508529, 466488, +9.01%, 97.9, 253.6, 5059, 1953, 38°34′00″N 121°28′07″W, 38.5666°N 121.4686°W, 38.5666 -121.4686, https://en.wikipedia.org/wiki/Sacramento,_California,
37, Atlanta, Georgia, 498044, 420003, +18.58%, 133.5, 345.8, 3539, 1366, 33°45′46″N 84°25′22″W, 33.7629°N 84.4227°W, 33.7629 -84.4227, https://en.wikipedia.org/wiki/Atlanta,
38, Kansas City, Missouri, 491918, 459787, +6.99%, 315.0, 815.8, 1528, 590, 39°07′30″N 94°33′04″W, 39.1251°N 94.5510°W, 39.1251 -94.5510, https://en.wikipedia.org/wiki/Kansas_City,_Missouri,
39, Colorado Springs, Colorado, 472688, 416427, +13.51%, 195.6, 506.6, 2378, 918, 38°52′02″N 104°45′39″W, 38.8673°N 104.7607°W, 38.8673 -104.7607, https://en.wikipedia.org/wiki/Colorado_Springs,_Colorado,
40, Miami, Florida, 470914, 399457, +17.89%, 36.0, 93.2, 12599, 4865, 25°46′31″N 80°12′31″W, 25.7752°N 80.2086°W, 25.7752 -80.2086, https://en.wikipedia.org/wiki/Miami,
41, Raleigh, North Carolina, 469298, 403892, +16.19%, 145.1, 375.8, 3163, 1221, 35°49′50″N 78°38′30″W, 35.8306°N 78.6418°W, 35.8306 -78.6418, https://en.wikipedia.org/wiki/Raleigh,_North_Carolina,
42, Omaha, Nebraska, 468262, 408958, +14.50%, 133.2, 345.0, 3356, 1296, 41°15′52″N 96°02′42″W, 41.2644°N 96.0451°W, 41.2644 -96.0451, https://en.wikipedia.org/wiki/Omaha,_Nebraska,
43, Long Beach, California, 467354, 462257, +1.10%, 50.3, 130.3, 9347, 3609, 33°48′33″N 118°09′19″W, 33.8092°N 118.1553°W, 33.8092 -118.1553, https://en.wikipedia.org/wiki/Long_Beach,_California,
44, Virginia Beach, Virginia, 450189, 437994, +2.78%, 244.7, 633.8, 1850, 710, 36°46′48″N 76°01′31″W, 36.7800°N 76.0252°W, 36.7800 -76.0252, https://en.wikipedia.org/wiki/Virginia_Beach,_Virginia,
45, Oakland, California, 429082, 390724, +9.82%, 55.9, 144.8, 7514, 2901, 37°46′11″N 122°13′33″W, 37.7698°N 122.2257°W, 37.7698 -122.2257, https://en.wikipedia.org/wiki/Oakland,_California,
46, Minneapolis, Minnesota, 425403, 382578, +11.19%, 54.0, 139.9, 7660, 2960, 44°57′48″N 93°16′06″W, 44.9633°N 93.2683°W, 44.9633 -93.2683, https://en.wikipedia.org/wiki/Minneapolis,
47, Tulsa, Oklahoma, 400669, 391906, +2.24%, 196.8, 509.7, 2048, 791, 36°07′40″N 95°54′08″W, 36.1279°N 95.9023°W, 36.1279 -95.9023, https://en.wikipedia.org/wiki/Tulsa,_Oklahoma,
48, Arlington, Texas, 398112, 365438, +8.94%, 95.8, 248.1, 4100, 1600, 32°42′03″N 97°07′29″W, 32.7007°N 97.1247°W, 32.7007 -97.1247, https://en.wikipedia.org/wiki/Arlington,_Texas,
49, Tampa, Florida, 392890, 335709, +17.03%, 113.4, 293.7, 3326, 1284, 27°58′12″N 82°28′47″W, 27.9701°N 82.4797°W, 27.9701 -82.4797, https://en.wikipedia.org/wiki/Tampa,_Florida,
50, New Orleans, Louisiana, 391006, 343829, +13.72%, 169.4, 438.7, 2311, 892, 30°03′12″N 89°56′04″W, 30.0534°N 89.9345°W, 30.0534 -89.9345, https://en.wikipedia.org/wiki/New_Orleans,
51, Wichita, Kansas, 389255, 382368, +1.80%, 160.4, 415.4, 2431, 939, 37°41′27″N 97°20′45″W, 37.6907°N 97.3459°W, 37.6907 -97.3459, https://en.wikipedia.org/wiki/Wichita,_Kansas,
52, Cleveland, Ohio, 383793, 396815, −3.28%, 77.7, 201.2, 4965, 1917, 41°28′43″N 81°40′46″W, 41.4785°N 81.6794°W, 41.4785 -81.6794, https://en.wikipedia.org/wiki/Cleveland,
53, Bakersfield, California, 383579, 347483, +10.39%, 148.8, 385.4, 2529, 976, 35°19′16″N 119°01′06″W, 35.3212°N 119.0183°W, 35.3212 -119.0183, https://en.wikipedia.org/wiki/Bakersfield,_California,
54, Aurora, Colorado, 374114, 325078, +15.08%, 153.5, 397.6, 2356, 910, 39°41′17″N 104°41′23″W, 39.6880°N 104.6897°W, 39.6880 -104.6897, https://en.wikipedia.org/wiki/Aurora,_Colorado,
55, Anaheim, California, 352005, 336265, +4.68%, 50.0, 129.5, 7021, 2711, 33°51′20″N 117°45′36″W, 33.8555°N 117.7601°W, 33.8555 -117.7601, https://en.wikipedia.org/wiki/Anaheim,_California,
56, Honolulu, Hawaii, 347397, 337256, +3.01%, 60.5, 156.7, 5815, 2245, 21°19′27″N 157°50′51″W, 21.3243°N 157.8476°W, 21.3243 -157.8476, https://en.wikipedia.org/wiki/Honolulu,
57, Santa Ana, California, 332725, 324528, +2.53%, 27.1, 70.2, 12333, 4762, 33°44′11″N 117°52′59″W, 33.7363°N 117.8830°W, 33.7363 -117.8830, https://en.wikipedia.org/wiki/Santa_Ana,_California,
58, Riverside, California, 330063, 303871, +8.62%, 81.2, 210.3, 3999, 1544, 33°56′17″N 117°23′36″W, 33.9381°N 117.3932°W, 33.9381 -117.3932, https://en.wikipedia.org/wiki/Riverside,_California,
59, Corpus Christi, Texas, 326554, 305215, +6.99%, 174.6, 452.2, 1866, 720, 27°45′15″N 97°10′24″W, 27.7543°N 97.1734°W, 27.7543 -97.1734, https://en.wikipedia.org/wiki/Corpus_Christi,_Texas,
60, Lexington, Kentucky, 323780, 295803, +9.46%, 283.6, 734.5, 1123, 434, 38°02′27″N 84°27′30″W, 38.0407°N 84.4583°W, 38.0407 -84.4583, https://en.wikipedia.org/wiki/Lexington,_Kentucky,
61, Stockton, California, 311178, 291707, +6.67%, 61.7, 159.8, 4977, 1922, 37°58′35″N 121°18′48″W, 37.9763°N 121.3133°W, 37.9763 -121.3133, https://en.wikipedia.org/wiki/Stockton,_California,
62, Henderson, Nevada, 310390, 257729, +20.43%, 104.7, 271.2, 2798, 1080, 36°00′35″N 115°02′09″W, 36.0097°N 115.0357°W, 36.0097 -115.0357, https://en.wikipedia.org/wiki/Henderson,_Nevada,
63, Saint Paul, Minnesota, 307695, 285068, +7.94%, 52.0, 134.7, 5815, 2245, 44°56′56″N 93°06′15″W, 44.9489°N 93.1041°W, 44.9489 -93.1041, https://en.wikipedia.org/wiki/Saint_Paul,_Minnesota,
64, St. Louis, Missouri, 302838, 319294, −5.15%, 62.0, 160.6, 5023, 1939, 38°38′09″N 90°14′41″W, 38.6357°N 90.2446°W, 38.6357 -90.2446, https://en.wikipedia.org/wiki/St._Louis,
65, Cincinnati, Ohio, 302605, 296943, +1.91%, 77.4, 200.5, 3860, 1490, 39°08′25″N 84°30′21″W, 39.1402°N 84.5058°W, 39.1402 -84.5058, https://en.wikipedia.org/wiki/Cincinnati,
66, Pittsburgh, Pennsylvania, 301048, 305704, −1.52%, 55.4, 143.5, 5481, 2116, 40°26′23″N 79°58′36″W, 40.4398°N 79.9766°W, 40.4398 -79.9766, https://en.wikipedia.org/wiki/Pittsburgh,
67, Greensboro, North Carolina, 294722, 269666, +9.29%, 128.3, 332.3, 2237, 864, 36°05′42″N 79°49′37″W, 36.0951°N 79.8270°W, 36.0951 -79.8270, https://en.wikipedia.org/wiki/Greensboro,_North_Carolina,
68, Anchorage, Alaska, 291538, 291826, −0.10%, 1706.6, 4420.1, 175, 68, 61°10′27″N 149°17′03″W, 61.1743°N 149.2843°W, 61.1743 -149.2843, https://en.wikipedia.org/wiki/Anchorage,_Alaska,
69, Plano, Texas, 288061, 259841, +10.86%, 71.7, 185.7, 3990, 1540, 33°03′03″N 96°44′52″W, 33.0508°N 96.7479°W, 33.0508 -96.7479, https://en.wikipedia.org/wiki/Plano,_Texas,
70, Lincoln, Nebraska, 287401, 258379, +11.23%, 92.1, 238.5, 3044, 1175, 40°48′38″N 96°40′49″W, 40.8105°N 96.6803°W, 40.8105 -96.6803, https://en.wikipedia.org/wiki/Lincoln,_Nebraska,
71, Orlando, Florida, 285713, 238300, +19.90%, 105.2, 272.5, 2635, 1017, 28°25′00″N 81°16′25″W, 28.4166°N 81.2736°W, 28.4166 -81.2736, https://en.wikipedia.org/wiki/Orlando,_Florida,
72, Irvine, California, 282572, 212375, +33.05%, 65.6, 169.9, 4057, 1566, 33°40′42″N 117°46′17″W, 33.6784°N 117.7713°W, 33.6784 -117.7713, https://en.wikipedia.org/wiki/Irvine,_California,
73, Newark, New Jersey, 282090, 277140, +1.79%, 24.1, 62.4, 11691, 4514, 40°43′27″N 74°10′21″W, 40.7242°N 74.1726°W, 40.7242 -74.1726, https://en.wikipedia.org/wiki/Newark,_New_Jersey,
74, Toledo, Ohio, 274975, 287208, −4.26%, 80.7, 209.0, 3451, 1332, 41°39′51″N 83°34′55″W, 41.6641°N 83.5819°W, 41.6641 -83.5819, https://en.wikipedia.org/wiki/Toledo,_Ohio,
75, Durham, North Carolina, 274291, 228330, +20.13%, 109.8, 284.4, 2395, 925, 35°58′52″N 78°54′10″W, 35.9811°N 78.9029°W, 35.9811 -78.9029, https://en.wikipedia.org/wiki/Durham,_North_Carolina,
76, Chula Vista, California, 271651, 243916, +11.37%, 49.6, 128.5, 5387, 2080, 32°37′40″N 117°00′55″W, 32.6277°N 117.0152°W, 32.6277 -117.0152, https://en.wikipedia.org/wiki/Chula_Vista,_California,
77, Fort Wayne, Indiana, 267633, 253691, +5.50%, 110.6, 286.5, 2391, 923, 41°05′18″N 85°08′38″W, 41.0882°N 85.1439°W, 41.0882 -85.1439, https://en.wikipedia.org/wiki/Fort_Wayne,_Indiana,
78, Jersey City, New Jersey, 265549, 247597, +7.25%, 14.8, 38.3, 17848, 6891, 40°42′41″N 74°03′53″W, 40.7114°N 74.0648°W, 40.7114 -74.0648, https://en.wikipedia.org/wiki/Jersey_City,_New_Jersey,
79, St. Petersburg, Florida, 265098, 244769, +8.31%, 61.8, 160.1, 4223, 1631, 27°45′43″N 82°38′39″W, 27.7620°N 82.6441°W, 27.7620 -82.6441, https://en.wikipedia.org/wiki/St._Petersburg,_Florida,
80, Laredo, Texas, 261639, 236091, +10.82%, 101.1, 261.8, 2544, 982, 27°33′37″N 99°29′21″W, 27.5604°N 99.4892°W, 27.5604 -99.4892, https://en.wikipedia.org/wiki/Laredo,_Texas,
81, Madison, Wisconsin, 258054, 233209, +10.65%, 77.0, 199.4, 3280, 1270, 43°05′16″N 89°25′48″W, 43.0878°N 89.4299°W, 43.0878 -89.4299, https://en.wikipedia.org/wiki/Madison,_Wisconsin,
82, Chandler, Arizona, 257165, 236123, +8.91%, 64.9, 168.1, 3813, 1472, 33°16′58″N 111°51′18″W, 33.2829°N 111.8549°W, 33.2829 -111.8549, https://en.wikipedia.org/wiki/Chandler,_Arizona,
83, Buffalo, New York, 256304, 261310, −1.92%, 40.4, 104.6, 6359, 2455, 42°53′33″N 78°51′35″W, 42.8925°N 78.8597°W, 42.8925 -78.8597, https://en.wikipedia.org/wiki/Buffalo,_New_York,
84, Lubbock, Texas, 255885, 229573, +11.46%, 124.6, 322.7, 2027, 783, 33°33′56″N 101°53′12″W, 33.5656°N 101.8867°W, 33.5656 -101.8867, https://en.wikipedia.org/wiki/Lubbock,_Texas,
85, Scottsdale, Arizona, 255310, 217385, +17.45%, 183.9, 476.3, 1341, 518, 33°41′03″N 111°51′40″W, 33.6843°N 111.8611°W, 33.6843 -111.8611, https://en.wikipedia.org/wiki/Scottsdale,_Arizona,
86, Reno, Nevada, 250998, 225221, +11.45%, 107.3, 277.9, 2286, 883, 39°32′57″N 119°51′00″W, 39.5491°N 119.8499°W, 39.5491 -119.8499, https://en.wikipedia.org/wiki/Reno,_Nevada,
87, Glendale, Arizona, 250702, 226721, +10.58%, 59.1, 153.1, 4161, 1607, 33°31′59″N 112°11′24″W, 33.5331°N 112.1899°W, 33.5331 -112.1899, https://en.wikipedia.org/wiki/Glendale,_Arizona,
88, Gilbert, Arizona, 248279, 208453, +19.11%, 68.0, 176.1, 3487, 1346, 33°18′37″N 111°44′35″W, 33.3103°N 111.7431°W, 33.3103 -111.7431, https://en.wikipedia.org/wiki/Gilbert,_Arizona,
89, Winston–Salem, North Carolina, 246328, 229617, +7.28%, 132.5, 343.2, 1828, 706, 36°06′10″N 80°15′40″W, 36.1027°N 80.2610°W, 36.1027 -80.2610, https://en.wikipedia.org/wiki/Winston%E2%80%93Salem,_North_Carolina,
90, North Las Vegas, Nevada, 245949, 216961, +13.36%, 98.0, 253.8, 2436, 941, 36°17′09″N 115°05′38″W, 36.2857°N 115.0939°W, 36.2857 -115.0939, https://en.wikipedia.org/wiki/North_Las_Vegas,_Nevada,
91, Norfolk, Virginia, 244076, 242803, +0.52%, 53.3, 138.0, 4599, 1776, 36°55′23″N 76°14′41″W, 36.9230°N 76.2446°W, 36.9230 -76.2446, https://en.wikipedia.org/wiki/Norfolk,_Virginia,
92, Chesapeake, Virginia, 242634, 222209, +9.19%, 338.5, 876.7, 703, 271, 36°40′46″N 76°18′06″W, 36.6794°N 76.3018°W, 36.6794 -76.3018, https://en.wikipedia.org/wiki/Chesapeake,_Virginia,
93, Garland, Texas, 242507, 226876, +6.89%, 57.0, 147.6, 4122, 1592, 32°54′35″N 96°37′49″W, 32.9098°N 96.6303°W, 32.9098 -96.6303, https://en.wikipedia.org/wiki/Garland,_Texas,
94, Irving, Texas, 242242, 216290, +12.00%, 67.0, 173.5, 3557, 1373, 32°51′28″N 96°58′12″W, 32.8577°N 96.9700°W, 32.8577 -96.9700, https://en.wikipedia.org/wiki/Irving,_Texas,
95, Hialeah, Florida, 238942, 224669, +6.35%, 21.5, 55.7, 10995, 4245, 25°52′12″N 80°18′10″W, 25.8699°N 80.3029°W, 25.8699 -80.3029, https://en.wikipedia.org/wiki/Hialeah,_Florida,
96, Fremont, California, 237807, 214089, +11.08%, 77.5, 200.7, 3008, 1161, 37°29′40″N 121°56′28″W, 37.4945°N 121.9412°W, 37.4945 -121.9412, https://en.wikipedia.org/wiki/Fremont,_California,
97, Boise, Idaho, 228790, 205671, +11.24%, 82.1, 212.6, 2718, 1049, 43°36′01″N 116°13′54″W, 43.6002°N 116.2317°W, 43.6002 -116.2317, https://en.wikipedia.org/wiki/Boise,_Idaho,
98, Richmond, Virginia, 228783, 204214, +12.03%, 59.8, 154.9, 3732, 1441, 37°31′53″N 77°28′34″W, 37.5314°N 77.4760°W, 37.5314 -77.4760, https://en.wikipedia.org/wiki/Richmond,_Virginia,
99, Baton Rouge, Louisiana, 221599, 229493, −3.44%, 85.9, 222.5, 2651, 1024, 30°26′32″N 91°07′51″W, 30.4422°N 91.1309°W, 30.4422 -91.1309, https://en.wikipedia.org/wiki/Baton_Rouge,_Louisiana,
100, Spokane, Washington, 219190, 208916, +4.92%, 68.7, 177.9, 3144, 1214, 47°40′01″N 117°26′00″W, 47.6669°N 117.4333°W, 47.6669 -117.4333, https://en.wikipedia.org/wiki/Spokane,_Washington,
101, Des Moines, Iowa, 216853, 203433, +6.60%, 88.9, 230.2, 2424, 936, 41°34′21″N 93°36′37″W, 41.5726°N 93.6102°W, 41.5726 -93.6102, https://en.wikipedia.org/wiki/Des_Moines,_Iowa,
102, Tacoma, Washington, 216279, 198397, +9.01%, 49.7, 128.7, 4251, 1641, 47°15′08″N 122°27′35″W, 47.2522°N 122.4598°W, 47.2522 -122.4598, https://en.wikipedia.org/wiki/Tacoma,_Washington,
103, San Bernardino, California, 215941, 209924, +2.87%, 61.5, 159.3, 3516, 1358, 34°08′30″N 117°17′37″W, 34.1416°N 117.2936°W, 34.1416 -117.2936, https://en.wikipedia.org/wiki/San_Bernardino,_California,
104, Modesto, California, 215030, 201165, +6.89%, 43.0, 111.4, 4934, 1905, 37°38′15″N 121°00′11″W, 37.6375°N 121.0030°W, 37.6375 -121.0030, https://en.wikipedia.org/wiki/Modesto,_California,
105, Fontana, California, 213739, 196069, +9.01%, 43.0, 111.4, 4876, 1883, 34°06′32″N 117°27′46″W, 34.1090°N 117.4629°W, 34.1090 -117.4629, https://en.wikipedia.org/wiki/Fontana,_California,
106, Santa Clarita, California, 210089, 176320, +19.15%, 52.8, 136.8, 3446, 1331, 34°24′11″N 118°30′15″W, 34.4030°N 118.5042°W, 34.4030 -118.5042, https://en.wikipedia.org/wiki/Santa_Clarita,_California,
107, Birmingham, Alabama, 209880, 212237, −1.11%, 146.1, 378.4, 1452, 561, 33°31′39″N 86°47′56″W, 33.5274°N 86.7990°W, 33.5274 -86.7990, https://en.wikipedia.org/wiki/Birmingham,_Alabama,
108, Oxnard, California, 209877, 197899, +6.05%, 26.9, 69.7, 7729, 2984, 34°12′08″N 119°12′17″W, 34.2023°N 119.2046°W, 34.2023 -119.2046, https://en.wikipedia.org/wiki/Oxnard,_California,
109, Fayetteville, North Carolina, 209468, 200564, +4.44%, 147.7, 382.5, 1386, 535, 35°04′58″N 78°58′25″W, 35.0828°N 78.9735°W, 35.0828 -78.9735, https://en.wikipedia.org/wiki/Fayetteville,_North_Carolina,
110, Moreno Valley, California, 209050, 193365, +8.11%, 51.3, 132.9, 4006, 1547, 33°55′24″N 117°12′21″W, 33.9233°N 117.2057°W, 33.9233 -117.2057, https://en.wikipedia.org/wiki/Moreno_Valley,_California,
111, Rochester, New York, 206284, 210565, −2.03%, 35.8, 92.7, 5835, 2253, 43°10′12″N 77°37′01″W, 43.1699°N 77.6169°W, 43.1699 -77.6169, https://en.wikipedia.org/wiki/Rochester,_New_York,
112, Glendale, California, 201361, 191719, +5.03%, 30.4, 78.7, 6606, 2551, 34°10′53″N 118°14′45″W, 34.1814°N 118.2458°W, 34.1814 -118.2458, https://en.wikipedia.org/wiki/Glendale,_California,
113, Huntington Beach, California, 200641, 189992, +5.60%, 26.9, 69.7, 7459, 2880, 33°41′26″N 118°00′33″W, 33.6906°N 118.0093°W, 33.6906 -118.0093, https://en.wikipedia.org/wiki/Huntington_Beach,_California,
114, Salt Lake City, Utah, 200591, 186440, +7.59%, 111.2, 288.0, 1742, 673, 40°46′37″N 111°55′52″W, 40.7769°N 111.9310°W, 40.7769 -111.9310, https://en.wikipedia.org/wiki/Salt_Lake_City,
115, Grand Rapids, Michigan, 200217, 188040, +6.48%, 44.4, 115.0, 4424, 1708, 42°57′40″N 85°39′20″W, 42.9612°N 85.6556°W, 42.9612 -85.6556, https://en.wikipedia.org/wiki/Grand_Rapids,_Michigan,
116, Amarillo, Texas, 199924, 190695, +4.84%, 101.4, 262.6, 1968, 760, 35°12′00″N 101°49′49″W, 35.1999°N 101.8302°W, 35.1999 -101.8302, https://en.wikipedia.org/wiki/Amarillo,_Texas,
117, Yonkers, New York, 199663, 195976, +1.88%, 18.0, 46.6, 11156, 4307, 40°56′45″N 73°52′03″W, 40.9459°N 73.8674°W, 40.9459 -73.8674, https://en.wikipedia.org/wiki/Yonkers,_New_York,
118, Aurora, Illinois, 199602, 197899, +0.86%, 44.9, 116.3, 4479, 1729, 41°45′49″N 88°17′24″W, 41.7635°N 88.2901°W, 41.7635 -88.2901, https://en.wikipedia.org/wiki/Aurora,_Illinois,
119, Montgomery, Alabama, 198218, 205764, −3.67%, 159.8, 413.9, 1252, 483, 32°20′50″N 86°15′58″W, 32.3472°N 86.2661°W, 32.3472 -86.2661, https://en.wikipedia.org/wiki/Montgomery,_Alabama,
120, Akron, Ohio, 198006, 199110, −0.55%, 62.0, 160.6, 3188, 1231, 41°04′50″N 81°31′17″W, 41.0805°N 81.5214°W, 41.0805 -81.5214, https://en.wikipedia.org/wiki/Akron,_Ohio,
121, Little Rock, Arkansas, 197881, 193524, +2.25%, 118.7, 307.4, 1673, 646, 34°43′31″N 92°21′31″W, 34.7254°N 92.3586°W, 34.7254 -92.3586, https://en.wikipedia.org/wiki/Little_Rock,_Arkansas,
