Rank, City, State, 2018 estimate, 2010 Census,Change[%], 2016 land area[sq mi], 2016 land area[km*km], 2016 population density[/sq mi], 2016 population density[km*km], location,
156, Springfield, Missouri, 168122, 159498, +5.41%, 82.3, 213.2, 2033, 785, 37°11′39″N 93°17′29″W, 
157, Fort Collins, Colorado, 167830, 143986, +16.56%, 55.8, 144.5, 2943, 1136, 40°32′54″N 105°03′53″W, 
158, Jackson, Mississippi, 164422, 173514, −5.24%, 111.0, 287.5, 1524, 588, 32°18′57″N 90°12′46″W, 
159, Alexandria, Virginia, 160530, 139966, +14.69%, 15.0, 38.8, 10387, 4010, 38°49′12″N 77°05′03″W, 
160, Hayward, California, 159620, 144186, +10.70%, 45.5, 117.8, 3493, 1349, 37°37′43″N 122°06′09″W, 
161, Lancaster, California, 159053, 156633, +1.55%, 94.3, 244.2, 1698, 656, 34°41′37″N 118°10′31″W, 
162, Lakewood, Colorado, 156798, 142980, +9.66%, 42.9, 111.1, 3599, 1390, 39°41′56″N 105°07′03″W, 
163, Clarksville, Tennessee, 156794, 132929, +17.95%, 98.3, 254.6, 1529, 590, 36°33′59″N 87°20′43″W, 
164, Palmdale, California, 156667, 152750, +2.56%, 106.0, 274.5, 1484, 573, 34°35′28″N 118°06′19″W, 
165, Salinas, California, 156259, 150441, +3.87%, 23.6, 61.1, 6662, 2572, 36°41′25″N 121°38′01″W, 
166, Springfield, Massachusetts, 155032, 153060, +1.29%, 31.9, 82.6, 4830, 1860, 42°06′56″N 72°32′24″W, 
167, Hollywood, Florida, 154823, 140768, +9.98%, 27.3, 70.7, 5568, 2150, 26°01′52″N 80°09′53″W, 
168, Pasadena, Texas, 153219, 149043, +2.80%, 43.5, 112.7, 3525, 1361, 29°39′31″N 95°09′02″W, 
169, Sunnyvale, California, 153185, 140081, +9.35%, 22.0, 57.0, 6944, 2681, 37°23′09″N 122°01′35″W, 
170, Macon, Georgia, 153095, 91351, +67.59%, 249.3, 645.7, 612, 236, 32°48′32″N 83°41′39″W, 
171, Kansas City, Kansas, 152958, 145786, +4.92%, 124.8, 323.2, 1216, 470, 39°07′21″N 94°44′30″W, 
172, Pomona, California, 152361, 149058, +2.22%, 23.0, 59.6, 6630, 2560, 34°03′31″N 117°45′40″W, 
173, Escondido, California, 152213, 143911, +5.77%, 37.1, 96.1, 4087, 1578, 33°07′59″N 117°04′26″W, 
174, Killeen, Texas, 149103, 127921, +16.56%, 53.5, 138.6, 2680, 1030, 31°04′40″N 97°43′55″W, 
175, Naperville, Illinois, 148304, 141853, +4.55%, 38.7, 100.2, 3802, 1468, 41°44′57″N 88°09′43″W, 
